object run
break 0
break 0
break 0
break 0
break 0
break 0
break 0
food 0
food 0
food 0
food 0
food 0
food 0
food 0
food 0
food 0
food 0
food 0
food 0
food 0
food 0
food 0
break 0
break 0
break 0
break 0
break 0
break 0
break 0
break 0
break 0
break 0
nonfood 0
nonfood 0
nonfood 0
nonfood 0
nonfood 0
nonfood 0
nonfood 0
nonfood 0
nonfood 0
nonfood 0
nonfood 0
nonfood 0
nonfood 0
nonfood 0
nonfood 0
break 0
break 0
break 0
break 0
break 0
break 0
break 0
break 0
food 1
food 1
food 1
food 1
food 1
food 1
food 1
food 1
food 1
food 1
food 1
food 1
food 1
food 1
food 1
break 1
break 1
break 1
break 1
break 1
break 1
nonfood 1
nonfood 1
nonfood 1
nonfood 1
nonfood 1
nonfood 1
nonfood 1
nonfood 1
nonfood 1
nonfood 1
nonfood 1
nonfood 1
nonfood 1
nonfood 1
nonfood 1
break 1
break 1
break 1
break 1
break 1
food 2
food 2
food 2
food 2
food 2
food 2
food 2
food 2
food 2
food 2
food 2
food 2
food 2
food 2
food 2
break 2
break 2
break 2
break 2
break 2
break 2
break 2
break 2
nonfood 2
nonfood 2
nonfood 2
nonfood 2
nonfood 2
nonfood 2
nonfood 2
nonfood 2
nonfood 2
nonfood 2
nonfood 2
nonfood 2
nonfood 2
nonfood 2
nonfood 2
break 2
break 2
break 2
break 2
break 2
break 2
break 2
break 2
break 2
food 3
food 3
food 3
food 3
food 3
food 3
food 3
food 3
food 3
food 3
food 3
food 3
food 3
food 3
food 3
break 3
break 3
break 3
break 3
break 3
break 3
nonfood 3
nonfood 3
nonfood 3
nonfood 3
nonfood 3
nonfood 3
nonfood 3
nonfood 3
nonfood 3
nonfood 3
nonfood 3
nonfood 3
nonfood 3
nonfood 3
nonfood 3
break 3
break 3
break 3
break 3
break 3
break 3
break 3
break 3
break 3
break 3
break 3
break 3
break 3
break 3
break 3
food 4
food 4
food 4
food 4
food 4
food 4
food 4
food 4
food 4
food 4
food 4
food 4
food 4
food 4
food 4
break 4
break 4
break 4
break 4
break 4
break 4
break 4
nonfood 4
nonfood 4
nonfood 4
nonfood 4
nonfood 4
nonfood 4
nonfood 4
nonfood 4
nonfood 4
nonfood 4
nonfood 4
nonfood 4
nonfood 4
nonfood 4
nonfood 4
break 4
break 4
break 4
break 4
break 4
break 4
break 4
break 4
break 4
break 4
food 5
food 5
food 5
food 5
food 5
food 5
food 5
food 5
food 5
food 5
food 5
food 5
food 5
food 5
food 5
break 5
break 5
break 5
break 5
break 5
break 5
break 5
break 5
nonfood 5
nonfood 5
nonfood 5
nonfood 5
nonfood 5
nonfood 5
nonfood 5
nonfood 5
nonfood 5
nonfood 5
nonfood 5
nonfood 5
nonfood 5
nonfood 5
nonfood 5
break 5
break 5
break 5
break 5
break 5
break 5
food 6
food 6
food 6
food 6
food 6
food 6
food 6
food 6
food 6
food 6
food 6
food 6
food 6
food 6
food 6
break 6
break 6
break 6
break 6
break 6
nonfood 6
nonfood 6
nonfood 6
nonfood 6
nonfood 6
nonfood 6
nonfood 6
nonfood 6
nonfood 6
nonfood 6
nonfood 6
nonfood 6
nonfood 6
nonfood 6
nonfood 6
break 6
break 6
break 6
break 6
break 6
break 6
break 6
break 6
food 7
food 7
food 7
food 7
food 7
food 7
food 7
food 7
food 7
food 7
food 7
food 7
food 7
food 7
food 7
break 7
break 7
break 7
break 7
break 7
break 7
break 7
break 7
break 7
nonfood 7
nonfood 7
nonfood 7
nonfood 7
nonfood 7
nonfood 7
nonfood 7
nonfood 7
nonfood 7
nonfood 7
nonfood 7
nonfood 7
nonfood 7
nonfood 7
nonfood 7
break 7
break 7
break 7
break 7
break 7
break 7
break 7
break 7
